Date,Open,High,Low,Close,Adj Close,Volume
2015-09-25,101400.0,102400.0,99900.0,101600.0,99307.921875,221535
2015-09-30,103000.0,103000.0,100000.0,102600.0,100285.3515625,652740
2015-10-01,103600.0,109200.0,102600.0,109200.0,106736.4609375,1004490
2015-10-02,110000.0,110200.0,107000.0,110000.0,107518.40625,702940
2015-10-05,109800.0,112600.0,107400.0,108600.0,106150.0,535860
2015-10-06,109000.0,111600.0,108400.0,111200.0,108691.328125,592725
2015-10-07,112200.0,112200.0,110000.0,111600.0,109082.3203125,553755
2015-10-08,113400.0,113800.0,109400.0,112200.0,109668.78125,480720
2015-10-12,115200.0,116600.0,110000.0,114800.0,112210.140625,830990
2015-10-13,115600.0,115800.0,113600.0,115800.0,113187.5703125,393985
2015-10-14,115400.0,115400.0,112200.0,112400.0,109864.2734375,398715
2015-10-15,112400.0,114600.0,112000.0,113800.0,111232.6796875,329630
2015-10-16,114800.0,117400.0,114200.0,117400.0,114751.46875,482525
2015-10-19,117600.0,117600.0,114400.0,116800.0,114165.0078125,436065
2015-10-20,115600.0,117000.0,114600.0,115600.0,112992.0703125,382375
2015-10-21,116000.0,116000.0,114400.0,115000.0,112405.609375,408060
2015-10-22,113800.0,114400.0,109400.0,109400.0,106931.953125,621860
2015-10-23,110400.0,114800.0,110200.0,114200.0,111623.6640625,604125
2015-10-26,114800.0,116800.0,109600.0,112400.0,109864.2734375,744500
2015-10-27,109400.0,112800.0,109400.0,112800.0,110255.2421875,337275
2015-10-28,112200.0,115400.0,108400.0,115400.0,112796.578125,588410
2015-10-29,120000.0,123400.0,117600.0,118400.0,115728.9140625,1183235
2015-10-30,118400.0,121400.0,115200.0,120000.0,117292.8203125,955270
2015-11-02,120000.0,121400.0,119400.0,120600.0,117879.2734375,518225
2015-11-03,121400.0,123800.0,120000.0,123800.0,121007.078125,584405
2015-11-04,125000.0,125600.0,123200.0,125200.0,122375.5078125,653585
2015-11-05,124600.0,127000.0,123800.0,125800.0,122961.96875,371710
2015-11-06,124200.0,126200.0,124000.0,126000.0,123157.4453125,238665
2015-11-09,126600.0,127200.0,124800.0,126800.0,123939.4140625,346330
2015-11-10,126800.0,126800.0,121400.0,123600.0,120811.59375,559765
2015-11-11,124000.0,126000.0,122600.0,125000.0,122180.0078125,362225
2015-11-12,124400.0,125600.0,123400.0,124000.0,121202.5703125,256115
2015-11-13,122200.0,123200.0,119800.0,121200.0,118465.7265625,397265
2015-11-16,118000.0,120400.0,117800.0,118400.0,115728.9140625,551680
2015-11-17,119200.0,121600.0,119200.0,119800.0,117097.3359375,362285
2015-11-18,119800.0,120800.0,118800.0,120000.0,117292.8203125,200715
2015-11-19,120200.0,121800.0,118800.0,121800.0,119052.2109375,293440
2015-11-20,123200.0,125800.0,122000.0,125400.0,122570.9765625,362535
2015-11-23,125400.0,125800.0,123200.0,124800.0,121984.53125,288280
2015-11-24,125000.0,126600.0,123800.0,124200.0,121398.0625,310395
2015-11-25,124000.0,126600.0,123200.0,126000.0,123157.4453125,301640
2015-11-26,126000.0,127000.0,124600.0,126600.0,123743.921875,275100
2015-11-27,125400.0,129400.0,125400.0,126400.0,123548.4296875,319010
2015-11-30,126600.0,127200.0,124000.0,126200.0,123352.9453125,685610
2015-12-01,127000.0,129800.0,126400.0,129400.0,126480.7578125,303350
2015-12-02,128800.0,130200.0,127200.0,127800.0,124916.8515625,372870
2015-12-03,129600.0,129800.0,125400.0,126600.0,123743.921875,231955
2015-12-04,125600.0,126000.0,122600.0,125000.0,122180.0078125,391040
2015-12-07,125400.0,126800.0,121600.0,121600.0,118856.7265625,541765
2015-12-08,121800.0,124200.0,121800.0,122600.0,119834.15625,370255
2015-12-09,122000.0,124000.0,122000.0,122400.0,119638.671875,393300
