value,label
KRX:002795,아모레G우
KRX:078935,GS우
KRX:001620,케이비아이동국실업
KRX:009810,플레이그램
KRX:013360,일성건설
KRX:025560,미래산업
KRX:465770,STX그린로지스
KRX:025750,한솔홈데코
KRX:023350,한국종합기술
KRX:001275,부국증권우
KRX:009770,삼정펄프
KRX:118000,에스메디
KRX:008870,금비
KRX:071090,하이스틸
KRX:011390,부산산업
KRX:021050,서원
KRX:28513K,SK케미칼우
KRX:006805,미래에셋증권우
KRX:006980,우성
KRX:008420,문배철강
KRX:069640,한세엠케이
KRX:014710,사조씨푸드
KRX:120115,코오롱인더우
KRX:143210,핸즈코퍼레이션
KRX:069730,DSR제강
KRX:005750,대림B&Co
KRX:025530,SJM홀딩스
KRX:049800,우진플라임
KRX:009320,대우부품
KRX:446070,유니드비티플러스
KRX:092780,동양피스톤
KRX:123700,SJM
KRX:014130,한익스프레스
KRX:000157,두산2우B
KRX:003560,IHQ
KRX:003080,성보화학
KRX:009835,한화솔루션우
KRX:009190,대양금속
KRX:005360,모나미
KRX:012160,영흥
KRX:014990,인디에프
KRX:004440,삼일씨엔에스
KRX:134790,시디즈
KRX:004870,티웨이홀딩스
KRX:010640,진양폴리
KRX:091090,세원이앤씨
KRX:090370,메타랩스
KRX:007610,선도전기
KRX:015260,에이엔피
KRX:000725,현대건설우
KRX:023960,에쓰씨엔지니어링
KRX:009460,한창제지
KRX:37550L,DL이앤씨2우(전환)
KRX:033250,체시스
KRX:005305,롯데칠성우
KRX:020760,일진디스플
KRX:009310,참엔지니어링
KRX:072130,유엔젤
KRX:002880,대유에이텍
KRX:023150,MH에탄올
KRX:012280,영화금속
KRX:003535,한화투자증권우
KRX:33637K,솔루스첨단소재1우
KRX:012200,계양전기
KRX:145270,케이탑리츠
KRX:051630,진양화학
KRX:005320,국동
KRX:010770,평화홀딩스
KRX:006200,한국전자홀딩스
KRX:000040,KR모터스
KRX:006570,대림통상
KRX:006125,SK디스커버리우
KRX:000215,DL우
KRX:002410,범양건영
KRX:000760,이화산업
KRX:019175,신풍제약우
KRX:013000,세우글로벌
KRX:005820,원림
KRX:001140,국보
KRX:093240,형지엘리트
KRX:37550K,DL이앤씨우
KRX:001070,대한방직
KRX:003465,유화증권우
KRX:024070,WISCOM
KRX:010400,우진아이엔에스
KRX:002690,동일제강
KRX:005030,부산주공
KRX:000950,전방
KRX:084870,TBH글로벌
KRX:003475,유안타증권우
KRX:008600,윌비스
KRX:009140,경인전자
KRX:014910,성문전자
KRX:001420,태원물산
KRX:008775,호텔신라우
KRX:003680,한성기업
KRX:084670,동양고속
KRX:002820,SUN&L
KRX:002070,비비안
KRX:002420,세기상사
KRX:015020,이스타코
KRX:030720,동원수산
KRX:001465,BYC우
KRX:011090,에넥스
KRX:007120,미래아이앤지
KRX:000300,대유플러스
KRX:044380,주연테크
KRX:025890,한국주강
KRX:00499K,롯데지주우
KRX:133820,화인베스틸
KRX:019685,대교우B
KRX:002870,신풍
KRX:006380,카프로
KRX:001685,대상우
KRX:019490,하이트론
KRX:003495,대한항공우
KRX:004365,세방우
KRX:001210,금호전기
KRX:084695,대상홀딩스우
KRX:33626L,두산퓨얼셀2우B
KRX:088790,진도
KRX:010420,한솔PNS
KRX:152550,한국ANKOR유전
KRX:005257,녹십자홀딩스2우
KRX:001770,SHD
KRX:025620,제이준코스메틱
KRX:002355,넥센타이어1우B
KRX:108675,LX하우시스우
KRX:005110,한창
KRX:007815,코리아써우
KRX:004835,덕성우
KRX:35320K,대덕전자1우
KRX:030790,비케이탑스
KRX:168490,한국패러랠
KRX:001795,대한제당우
KRX:33637L,솔루스첨단소재2우B
KRX:004105,태양금속우
KRX:000087,하이트진로2우B
KRX:000075,삼양홀딩스우
KRX:071950,코아스
KRX:008500,일정실업
KRX:000885,한화우
KRX:004255,NPC우
KRX:18064K,한진칼우
KRX:002025,코오롱우
KRX:45014K,코오롱모빌리티그룹우
KRX:140910,에이리츠
KRX:38380K,LX홀딩스1우
KRX:001067,JW중외제약2우B
KRX:000225,유유제약1우
KRX:005725,넥센우
KRX:001065,JW중외제약우
KRX:003075,코오롱글로벌우
KRX:45226K,한화갤러리아우
KRX:145995,삼양사우
KRX:001515,SK증권우
KRX:004985,성신양회우
KRX:00806K,대덕1우
KRX:008355,남선알미우
KRX:26490K,크라운제과우
KRX:000325,노루홀딩스우
KRX:001755,한양증권우
KRX:36328K,티와이홀딩스우
KRX:090355,노루페인트우
KRX:007575,일양약품우
KRX:006345,대원전선우
KRX:005745,크라운해태홀딩스우
KRX:004545,깨끗한나라우
KRX:014825,동원시스템즈우
KRX:000145,하이트진로홀딩스우
KRX:00781K,코리아써키트2우B
KRX:014285,금강공업우
KRX:005965,동부건설우
KRX:009415,태영건설우
KRX:000545,흥국화재우
KRX:012205,계양전기우
KRX:011155,CJ씨푸드1우
KRX:000227,유유제약2우B
KRX:004415,서울식품우
KRX:002785,진흥기업우B
KRX:014915,성문전자우
KRX:001527,동양2우B
KRX:002787,진흥기업2우B
KRX:002995,금호건설우
KRX:001525,동양우
KRX:247540,에코프로비엠
KRX:086520,에코프로
KRX:028300,HLB
KRX:196170,알테오젠
KRX:348370,엔켐
KRX:068760,셀트리온제약
KRX:403870,HPSP
KRX:065350,신성델타테크
KRX:058470,리노공업
KRX:277810,레인보우로보틱스
KRX:035900,JYP Ent.
KRX:039030,이오테크닉스
KRX:145020,휴젤
KRX:357780,솔브레인
KRX:214150,클래시스
KRX:263750,펄어비스
KRX:293490,카카오게임즈
KRX:005290,동진쎄미켐
KRX:041510,에스엠
KRX:036930,주성엔지니어링
KRX:417200,LS머트리얼즈
KRX:328130,루닛
KRX:035760,CJ ENM
KRX:121600,나노신소재
KRX:000250,삼천당제약
KRX:240810,원익IPS
KRX:112040,위메이드
